skeptical, adj. 怀疑的
reconstruct," vt. 重建, 修复, 重现"
stance, n. 立场；姿态；位置；准备击球姿势
interpretive, adj. 说明的，解释的
indistinguishable," adj. 不能区别的，难区分的, 不易觉察的"
groundwater, n. 地下水
pulley," n. 滑车, 滑轮，皮带轮"
imprudent, adj. 轻率的，不谨慎的
congressional," adj. 议会的, 国会的, 会议的"
inclination," n. 倾向, 意愿, 倾斜度"
impure," adj. 不纯的, 肮脏的"
situate," vt. 位于, 坐落在
adj. 位于...的，坐落在...的"
misanthropy," n. 厌恶人类, 厌世"
retirement," n. 退休，隐匿处
adj. 退休的"
induction," n. 就职,感应,归纳法,序言"
incubate," v. 抱,孵,培养
v. 孵蛋,筑巢,孵化"
aggrandize," vt. 增加，夸大，提高
=aggrandise(英)"
ingenious," adj. 机灵的,精制的,有独创性的"
numerical," adj. 数字的, 用数字表示的"
disciplinary," adj. 训练的, 规律的, 训戒的"
vertebrate," adj. 脊椎的，脊椎动物的
n. 脊椎动物"
restitution, n.归还，赔偿，恢复原状
bandwidth, n. 频带宽度，通带宽度
discourse," n. 谈话,演讲
vi. 谈话,讲述
vt. 叙述,讨论"
dazzle," v. 使眼花，使惊奇，目眩，耀眼
n. 耀眼的光，令人惊叹的事物"
innovator," n. 改革者, 刷新者"
pleading," n. 恳求
动词plead的现在分词形式"
stimulus," n. 刺激, 激励, 刺激品"
can," aux. 能,可以
n. 罐头
vt. 罐装
vt. 炒某人鱿鱼"
withhold," vt. &vi. 扣留,保留,抑制"
wetter," n. 加湿器, 润湿剂"
socially," adv. 在社会上, 在社交上, 亲切地"
reassess," v. 再评价, 再摊派, 再课税"
interminable," adj. 无限的, 冗长的"
vocalization," n. 发声的样子, 发声法, 发声"
alkali, n. 碱
satiate," vt. 使过饱, 使满足
adj. 达到满足的"
greenwood," n. 绿林
Greenwood
n. 格林伍德(美国城市名)"
revere," v. 尊敬, 敬畏, 崇敬
里维尔(美国马萨诸塞州城市, 避暑胜地)"
radiocarbon," n. 放射性炭素, 炭素的放射性同位元素"
landfill, n. 垃圾堆
attainment," n. 达到,获得
（常复数）attainments:成就，才能，学识"
largesse," n. 慷慨援助, 施舍"
defoliate, v. v.(使)落叶
signify," v. 象徵, 预示"
unusable, adj. 无法使用的
recording," n. 录音
动词record的现在分词"
demystify, vt. 使非神秘化
incentive," adj. 刺激的, 鼓励的
n. 刺激, 鼓励, 动机"
potassium, n. 钾
determinate," adj. 确定的, 决定的, 限定的"
forceful," adj. 有力的, 强烈的"
devotee," n. 热爱家, 献身者, 皈依者，信徒"
aggregate," n. 合计, 总计, 集合体
adj. 合计的, 集合的, 聚合的
v. 聚集, 集合, 合计"
kin," n. 家族,亲属
adj. 亲属关系的，同类的
suf. (接名词后)小的"
retaliatory," adj. 报复的, 报复性的"
diligence, n. 勤奋
offstage," adj. 不在舞台上的，私下的
adv. 不在舞台上地，私下"
unimportant, adj. 不重要的
wildly, adv. 粗野地，疯狂地
dissipate, vt. 使...消散(浪费)
chameleon," n. 变色龙, 善变的人, 轻浮的人"
dreary," adj. 沉闷的,令人沮丧的，情绪低落的"
magnify, v. 放大，夸大
dual," adj. 双重的, 成双的
n. 双数"
annex," n. 附属物,附属建筑物
vt. 并吞, 附加, 盖"
crusher," n. 压碎器, 打击, 镇服人的事实"
anomaly," n. 异常, 反常"
feminist," n. 男女平等主义者,女权扩张论者
adj. 男女平等主义的,女权扩张论的"
marginal," adj. 边际的,末端的,仅以微弱多数获胜的,微小的"
ecology, n. 生态学
dealer, n. 经销商；商人；发牌者，庄家；[俚语]毒品贩子，贩毒者
appease," v. 安抚, 缓和, 平息，姑息"
solicit," vt. 勾引, 乞求, 设法获得某事物
vi. (妓女)拉客"
abridged," adj. 削减的，删节的
动词abridge的过去式和过去分词形式"
activist," n. 活动分子, 积极分子"
vacuous," adj. 空的, 发呆的, 心灵空虚的"
oppressive," adj. 压制性的,压迫的,沉重的"
milky," adj. 乳状的,乳白色的,柔和的"
cirrus, n. 卷云，[植]卷须，[动]触须
suffragist," n. 参政权扩大论者,妇女政权论者"
appeasement," n. 平息, 缓和, 满足, 绥靖政策"
competitive," adj. 竞争的, 比赛的"
immediacy, n. 直接，目前，密接，及时性，紧迫性
stressful," adj. 紧张的, 压力重的"
clan," n. 氏族, 宗族, 党派"
austerity," n. 朴素, 节俭, 苦行"
defender," n. 防卫者, 拥护者, 辩护者"
impale," vt. 刺穿(钉住,使...绝望)"
pathogen, n. 病原体
sensational," adj. 使人感动的, 非常好的, 轰动的, 耸人听闻的"
impenetrable," adj. 不能穿过的, 不可理喻的"
maximal," adj. 最大的, 最高的"
multiplication," n. 乘法,增加,乘法表
[计算机] 乘法"
clone," n. 克隆，无性繁殖，复制品
v. 克隆，复制"
stylistic, adj. 文体上，格式上的，体裁上的
conspicuous," adj. 显著的,显而易见的, 显眼的"
technically," adv. 技术上, 学术上, 专门地"
disparity, n. 不一致
attachment," n. 附件, 附著, 附属物, 依恋, 忠诚，依赖
[法律]扣押令"
ascendancy," n. 统治权, 支配力量"
insulation," n. 隔离, 孤立, 绝缘"
thesis," n. 毕业论文, 论题, 论文"
nourish," v. 滋养, 使...健壮, 怀有"
expressionism, n. 表现主义
secretarial, adj. 秘书的
magpie," n. 鹊,鸽的一种,绕舌
adj. 斑驳的,有收集癖的,混杂的"
provisional," adj. 暂时的
n. 临时性,临时人员"
regulator," n. 调整者, 取缔的人, 调整器"
equatorial," adj. 近赤道的, 赤道的"
gloat, v. 满足地看，沾沾自喜，幸灾乐祸
admiration," n. 钦佩, 赞赏"
attributable, adj. 可归因于...的
digit," n. 数字,位数,指头"
wrongdoer, n. 做坏事的人，罪犯，违法者
implausible," adj. 难信的, 不像真实的"
distillation, n. 蒸馏
fervent," adj. 热的, 炎热的, 热心的"
fervor," n. 热诚, 热心
=fervour(英)"
incongruity," n. 不调和, 不一致, 不配合"
bluff," n. 断崖,绝壁 adj. 直率的 vi.  吹牛 vt. 以虚张声势达成"
manifold," n. 复印本,多种
adj. 多种的,有许多部份的,多方面的
v. 复写,繁殖,增多"
inappropriate," adj. 不适当的,不相称的"
parable," n. 寓言,比喻,谜"
evasion," n. 逃避, 藉口，偷漏(税)"
reorganize, vt. 改组(整理)
formerly," adv. 以前, 从前"
overemphasis, n.过分的强调
chantey," n. 船歌
=shanty, chanty"
solvable, adj. 可以解决的
parasitic," adj. 寄生的, 靠他人为生的
=parasitical"
inaccessible," adj. 难接近的, 难达到的, 难达成的"
fluffy," adj. 毛绒绒的, 蓬松的"
bulge," n. 膨胀,优势,暴增
vt. 使...膨胀
vi. 膨胀,充满"
condemnation, n. 谴责，非难，定罪， 非难或定罪的理由
transcendental," adj. 超越经验的, 形而上学的，先验的"
shawl," n. 披肩, 围巾
vt. 用披肩，用围巾"
parity," n. 相等,势均力敌,等值"
leguminous," adj. 豆的, 生豆的, 豆科的"
treacherous," adj. 背信弃义的，叛逆的, 不可靠的, 危险的"
unacceptable, adj. 不能接受的，不受欢迎的
grassland," n. 牧草地, 草原"
accumulation," n. 积聚, 累积, 积聚物"
antiquity," n. 高龄, 古老, 古物, 古迹"
disprove," vt. 证明...是不对的, 提出...的反证"
cantor, n.（教堂或犹太教会堂唱诗班的）领唱者
balm," n. 香油, 药膏"
connoisseur," n. 鉴识家, 鉴定家, 内行"
perilous, adj. 危险的，冒险的
vigilance," n. 警戒,警觉心,守夜"
frictional," adj.摩擦的,由摩擦而产生的"
esteem," n. 尊敬
vt. 认为,尊敬"
mercurial, adj.（指人）反复无常的； 水银的； （指人或性质）灵活的； 易变的
avail," vi. 有利
vt. 有用
n. 益处"
aimless," adj. 无目的的, 没有目标的"
penalty," n. 处罚,惩罚"
racism, n. 种族主义，种族歧视；人种偏见
chapel," n. 小礼拜堂, 礼拜仪式，私人祈祷处，唱诗班，印刷厂工会，殡仪馆"
livelihood," n. 生计, 营生, 生活"
disordered," adj. 混乱的, 害了病的
动词disorder的过去式和过去分词"
degenerate," adj. 堕落的
v. 退化, 堕落
[计算机] 退化"
calculable," adj. 可计算的, 可信赖的, 可靠的"
elasticity," n. 弹力, 弹性"
ponder," vt. &vi. 沉思,考虑"
pope, n. 罗马教皇
magnetosphere, n. 磁气圈
subarctic," adj. 靠近北极的, 亚北极的
n. 亚北极区"
bequest," n. 遗赠物,遗产,遗赠"
postulate," n. 假定,基本条件
vt. 要求,假定"
clot," n. 凝块，血块，一推，一群
n. 笨蛋，傻瓜
v. 凝结, 使...凝结，阻塞"
wield, vt. 行使，运用，支配，挥舞，使用(武器等)
theoretically, adv. 理论上
gregarious, adj.  群居的，爱社交的
turmoil," n. 骚动, 混乱"
recess," n. 休息,幽深处,凹缝,壁龛,放假
vt. 放入壁龛,作凹处,休息
vi. 休息"
prey," n. 被掠食者,牺牲者
vi. 捕食,掠夺,使...苦恼"
wretched," adj. 可怜的, 不幸的, 卑鄙的，质量差的，恶劣的"
insufficiency," n. 缺乏, 不足之处，机能不全"
insulin, n. 胰岛素
dramatist, n. 剧作家，戏剧家
personally," adv. 亲自地, 以个人, 就自己而言"
permissive," adj. 许可的,获准的,自由的"
underplay," v. 轻描淡写, 表演不充分"
adhere," vi. 坚守于, 对...忠贞, 紧抓着, 遵守 vt. 使附着, 使粘牢"
vocal," adj. 声音的,口述的,歌唱的
n. 元音,声乐作品"
condone, vt. 宽恕；赦免
snub," v. 冷落, 斥责，制止
n. 怠慢
adj. (鼻子等)短平而上翘的"
cannibalize, v. 同型装配，拆用零件，调拨人员，食同类的肉
Martian," n. 火星人
adj. 火星的"
provocative," adj. 气人的, 挑拨的, 刺激的
n. 刺激物, 挑拨物, 兴奋剂"
subversion," n. 颠覆, 破坏"
moralist," n. 道德学家, 卫道士"
obsolete," adj. 已废弃的, 过时的"
bombast, n. 浮夸的言语，高调
advect, vt. 用平流输送
hydrocarbon, n. 碳氢化合物
creek," n. 小湾, 小溪"
dependable," adj. 可信任的, 可靠的, 可信赖的"
coordinate," n. 同等的人物; (色调, 图案, 样式等)配套服装
adj. 同等的, 等位的; (大学)男女分院制的
v. 协调, 整合; 使一致
[计算机] 坐标"
realistic," adj. 现实的, 现实主义的"
impartial," adj. 公平的, 不偏不倚的"
pathway," n. 路, 径"
abeyance," n. 中止, 暂搁, 停止"
rekindle, v. 重新点燃
disbelief, n. 不相信，怀疑
piety, n. 虔诚
acoustic," adj. 美声的，听觉的,音感教育,音响学的"
causality," n. 缘由, 因果关系"
unprecedented," adj. 空前的,前所未有的"
crumble," v. 崩溃, 弄碎, 减亡"
honestly," adv. 诚实地，真诚地, 公正地，的确，实在"
pinpoint," n. 极小之物
v. 精确地找到, 准确地轰炸"
clergy," n. [总称]牧师, 神职人员"
consumer," n. 消费者,用户, 消费品"
inaugural," adj. 就职典礼的,创始的
n. 就职演说,就职典礼"
individualist, n. 强调个性的人，个人主义者
centaur, n. [希神]人首马身的怪物
correlation," n. 相互关系,相关,关连"
contractor," n. 立契约的人, 承包商"
evidentiary, adj. 证据的，证明的
buttress," n. 扶墙, 拱壁
vt. 支持"
intolerance, n. 不容忍，无法忍受
delightful," adj. 令人愉快的, 可喜的"
reptilian," adj. 爬虫类的, 卑下的"
perforce," adv. 必然地, 强制地, 通过环境的力量"
tentative," n. 试验,假设
adj. 试验性质的,暂时的,犹豫不决的"
unexceptional," adj.非例外的,普通的,平凡的"
disputatious, adj. 好争辩的
statutory," adj. 法令的, 法定的, 触犯法令的"
pyramid," n. 金字塔
vi. 急速增加
vt. 以金字塔的模型构建"
integrate," v. 整合, 使...成整体"
demise," n. 死亡,转让房产,让位
vt. 让渡,遗赠,转让
vi. 遗赠,死亡"
upgrade," vt. 提高(上升,浓集,加强)
n. 提高(上升,浓集,加强)"
intervene," vi. 插入,介入,干涉,调停
[计算机] 介入"
capillary," n. 毛细管
adj. 毛状的, 毛细管的"
toxicity, n. 毒性，毒效
vivacious, adj. 活泼的
dusty, adj. 满是灰尘的
disarray," v. 弄乱,使混乱,使脱去衣服
n. 无秩序,杂乱,不整齐的衣服"
revisionist," n. 修正主义者
adj. 修正主义者的"
stratum," n. 地层, 阶层"
destructive," adj. 破坏性的, 有害的"
revolutionize," vt. 使革命化，使彻底变革 
vi. 变革
=revolutionise（英）"
momentarily," adv. 暂时地, 立刻地, 随时地，时时刻刻地"
ornamentation," n. 装饰, 修饰"
nostalgia," n. 乡愁, 向往过去, 怀旧之情"
anecdotal," adj. 逸话的, 多逸事趣闻的, 轶事一样的"
originator," n. 创始人, 发起人"
dismal," adj. 阴沉的, 凄凉的, 暗的"
factious," adj. 好搞派系的, 好捣乱的"
dent," n. 凹痕, 心理阴影, 挫伤
vt. 弄凹
vi. 形成凹陷"
surmise," n. 推测
vt. 推测, 臆测"
incompatible," adj. 不相容的, 不能并存的, 矛盾的"
sonar, n. 声纳，声波定位器
hormone," n. 荷尔蒙, 激素"
shackle," n. 桎梏, 束缚物
v. 加桎梏, 加枷锁, 束缚"
breakaway," n. 断开(破裂, 分离, 中断, 脱钩安全器)"
wildlife, n. 野生动物
diversify," v. 使成形形色色, 使多样化, 使变化"
unassailable," adj. 攻不破的, 无争论余地的, 无懈可击的"
parabola, n. [数学]抛物线
underscore," vt. 划线于,强调,提供伴奏乐
n. 下划线,影片伴奏乐"
credibility," n. 可信用, 确实性, 可靠"
purview, n. 范围
magistrate, n. 地方法官，地方行政官
hybrid," n. 混血儿,杂种,混合物
adj. 混合的,杂种的,混合语的"
exertion," n. 努力, 发挥, 运用"
exploitation," n. 开发,开采,自私的利用"
eclectic," n. 折衷主义者, 折衷派的人
adj. 选择的, 折衷的"
dilemma," n. 困境,进退两难"
elapse," v. 逝去, 过去"
dichotomy," n. 两分, 分裂, 二分法"
emanate," v. 散发, 发出"
outrage," n. 暴行,侮辱,愤怒
v. 凌辱,虐待,触犯"
eloquence," n. 雄辩, 口才"
intuitive, [计算机] 直觉的
directness," n. 直接, 直率"
sarcastic, adj. 讽刺的
bibliography," n. (有关某一专题的)书目,参考书目"
dinosaur," n. 恐龙
n.(俚)过时、落伍的人或事物"
enhance," vt. 提高,加强,增加"
congenial," adj. 同性质的, 适意的, 趣味相同的，友善的"
merge," vt. &vi. 合并,消失,吞没, 融合
[计算机] 合并"
dissatisfied," adj. 不满意的, 不高兴的
动词dissatisfy的过去式和过去分词"
alongside," adv. 在旁边
prep. 在...旁边"
formalize, vt. 使正式化
surplus," adj. 多余的,过剩的
n. 过剩,剩余物,盈余,顺差"
equanimity," n. 平静, 镇定"
immoral, adj. 不道德的
torpid, adj. 迟钝的，呆滞的，无精打采的，不活泼的
momentary," adj. 短暂的, 瞬间的, 刹那间的"
analogue," n. 类似物，【语】同源语
adj. 模拟计算机的"
erratic, adj.飘忽不定的； 行为古怪，反复无常； （运动或行为）不规则的
modulate," v. 调整, 调节（声音），变调"
outdated," adj. 旧式的,落伍的,过时的
v. 使时
vbl. 过时"
morality," n. 道德, 美德, 品行, 道德观"
applaud," vi. 拍手喝彩
vt. 称赞,鼓掌"
susceptibility," n. 敏感性，感受性，磁化率
(复数）susceptibilities:感情"
deflect," vt. 使转向；使偏斜；使弯曲
vi. 转向；偏斜"
capitalistic," adj. 资本主义的, 资本家的"
arena, n. 竞技场
gravitational, adj. 重力的，引力作用的
conserve," n. 蜜饯,果酱
vt. 保存,与糖放在一起,保持"
comradeship," n. 友谊, 同志关系"
dislocation," n. 脱节, 动乱，脱臼，位错"
saxophonist, n. 萨克斯管吹奏者
neutrality, n. 中立
terminus," n. 终点, 终站，界限"
critically," adv. 批评性地, 爱挑剔地, 重要地, 危急地"
notation," n. 记号法,表示法,注释
[计算机] 记法"
legitimize," vt. 使合法, 使可接受"
berate, vt. 严责
theatrical," adj. 剧场的, 夸张的"
pageant," n. 盛会, 游行, 虚饰"
lament," n. 悲叹, 悔恨, 恸哭
v. 哀悼, 悔恨, 悲叹"
isometric," adj. 等轴的，等容积的，等立方的，等比例的
n. 等容线，等距线"
